Prompt_ID,Time_Block,BPM,Brain_Wave_Target,Duration_Type,Primary_Genres,Key_Instruments,Mood_Keywords,Suno_Short_Prompt,Full_Prompt,Notes,Generated,Suno_Refined,Rating
13,Deep Focus Block 2,115,Sustained Theta-Alpha,Extended Immersion,"deep house, afro jazz fusion","balafon, four-on-floor kick, sub bass, wordless vocals, Rhodes",ritual precision trance cognitive scaffold,,"A balafon pattern repeats with ritual precision over deep house four-on-floor pulse at 115 BPM, its wooden resonance creating the melodic spine of this deep house afro jazz fusion. Sub bass frequencies throb hypnotically while wordless vocal samples—treated as texture, not lyrics—drift in reverb space, and occasional Rhodes stabs punctuate the arrangement. Music for sustained concentration through rhythmic trance, where the repetitive cycle becomes external memory and cognitive scaffold.",Maximum theta access,Yes,,Excellent ⭐
14,Deep Focus Block 2,92,Sustained Theta-Alpha,Extended Immersion,"chillsynth, boom bap","Juno-60 bass, breakbeat loops, electric piano, tape flutter",nostalgic analog future vintage,,"Warm Juno-60 bass synth tones pulse beneath dusty breakbeat loops at 92 BPM in this chillsynth boom bap meditation, while electric piano chords stab in syncopated rhythm like memories of jazz sessions past. Cassette tape compression and flutter create nostalgic warmth, as if this future music was discovered on a thrift store tape—analog aesthetics for digital work, maintaining flow through vintage textural comfort and minimal variation.",Cassette aesthetic,Yes,,
15,Deep Focus Block 2,118,Sustained Theta-Alpha,Extended Immersion,"minimal house, samba ambient","subtle shakers, electronic bass, synthesizer pads, minimal percussion",hypnotic repetitive subdued geometric meditative,,"Subtle Brazilian shaker patterns whisper in steady polyrhythmic texture at 118 BPM, blended deep into the mix beneath Berlin-school synthesizer pads that drone with hypnotic consistency in this minimal house ambient fusion. Four-on-floor kick provides barely-present pulse while warm electronic bass anchors the harmonic center—all percussion treated as textural background rather than rhythmic foreground, creating sustained theta entrainment through repetitive minimalism and spacious restraint.",REVISED: Too forward - now textural background,Yes,,Needs testing
16,Deep Focus Block 2,105,Sustained Theta-Alpha,Extended Immersion,"dream pop, jazz fusion","tremolo guitars, brushed drums, ambient pads",immersive introspective ego dissolution,,"Tremolo-effected guitars wash in waves of reverb over brushed jazz drums at 105 BPM, while ambient synthesizer pads swell in the background of this dream pop jazz fusion. The rhythm section maintains subtle swing while shoegaze guitar textures create atmospheric density—introspective and immersive, perfect for deep coding meditation where the world narrows to screen and sound, ego dissolves, and abstract concepts become tangible.",Peak immersion state,Yes,,
17,Deep Focus Block 2,88,Sustained Theta-Alpha,Extended Immersion,"ambient afro-jazz, minimalist","thumb piano, electronic bass, field recordings (birds wind)",ritualistic spacious contemplative silence,,"Sparse thumb piano meditations ring out with ritualistic simplicity at 88 BPM, supported by barely-there electronic bass and field recordings of distant birds and wind in this ambient afro-jazz piece. Each note hangs in vast reverb space, creating music of pure contemplation—minimalist and spacious, inviting the mind to fill the silence between sounds with focused work, where theta dominance allows deepest concentration.",Maximum theta dominance,Yes,,
18,Late Afternoon Push,120,Beta Suppression + Alpha,Fatigue Combat,"broken beat, samba, UK garage","pandeiro, tamborim, broken beat drums, Rhodes",sophisticated syncopated energizing cross-continental,,"Syncopated Brazilian pandeiro and tamborim patterns lock with UK garage broken beat drum programming at 120 BPM, while Fender Rhodes chords stab in jazz harmony across this cross-continental fusion. The groove shuffles and swings simultaneously, creating sophisticated rhythmic tension that energizes without overwhelming—Rio's street carnival meets South London's underground club scene, fighting afternoon fatigue through rhythmic complexity.",Complexity fights fatigue,Yes,,
19,Late Afternoon Push,108,Beta Suppression + Alpha,Fatigue Combat,"acoustic rock, jazz","Telecaster, upright bass, brush drums",warm organic spacious authentic groove,,"Warm Fender Telecaster guitar provides gentle harmonic texture over upright bass and brush-played jazz drums at 108 BPM in this acoustic rock jazz hybrid recorded with analog equipment warmth. The arrangement breathes with space and restraint, all instruments supporting rather than leading, blending Blue Note sophistication with Americana's honest simplicity—like a relaxed studio session where everyone plays for the groove, not the spotlight, sustaining energy through organic authenticity.",Revised to avoid bright arpeggios,Yes,,
20,Late Afternoon Push,115,Beta Suppression + Alpha,Fatigue Combat,"nu-disco, afro percussion","filtered rhythm guitar, four-on-floor, congas, bongos, Balearic pads",sophisticated Balearic whispered polyrhythmic,,"Subtly filtered rhythm guitar sits in the pocket with four-on-four kick drums at 115 BPM, textured by the polyrhythmic whisper of congas and bongos in this nu-disco afro percussion fusion. Balearic synthesizer pads carry the melodic weight as atmospheric layer while the groove maintains sophisticated energy beneath—Ibiza's white isle meeting West African rhythm traditions, all mixed for background sophistication rather than foreground demands.",Revised to avoid funk chops,Yes,,
21,Late Afternoon Push,95,Beta Suppression + Alpha,Fatigue Combat,"chillwave, samba, lo-fi","lo-fi synths, bossa guitar, boom bap drums, tape saturation",nostalgic beachside hazy VHS degraded,,"Lo-fi synthesizers drip with VHS-era nostalgia over bossa nova nylon guitar at 95 BPM, while boom bap drum programming adds hip-hop's head-nod to Brazilian swing in this chillwave samba fusion. Tape saturation and bit-crushing create warm degradation, as if this beachside session was recorded on a thrift store cassette deck—memory and geography colliding in hazy reverie, sustaining afternoon momentum through nostalgic comfort.",VHS aesthetic comfort,Yes,,
22,Evening Wind-Down,80,Alpha to Theta Descent,Parasympathetic Shift,"ambient Appalachian folk, acoustic","fingerpicked acoustic guitar, banjo echoes, field recordings (crickets leaves)",twilight mountain peaceful graceful closure,,"A solo fingerpicked acoustic guitar carries the entire weight of this ambient Appalachian folk meditation at 80 BPM, its steel strings captured in pristine clarity with natural room reverb. Distant banjo echoes ghost through the mix like mountain memories, while field recordings of crickets and rustling leaves frame the performance—twilight falling on the Blue Ridge, translated to sound, guiding the brain gracefully from theta focus back toward normal consciousness.",DMN reactivation gentle,Yes,,
23,Evening Wind-Down,88,Alpha to Theta Descent,Parasympathetic Shift,"dream pop, chillsynth","reverb guitar swells, analog synth pads, distant shaker, brushed cymbal",cosmic atmospheric reflective parasympathetic,,"Guitar swells drenched in reverb rise and fall like slow breaths in this dream pop chillsynth instrumental at 88 BPM, supported by warm analog synthesizer pads that glow with cosmic warmth. Percussion exists only as suggestion—a distant shaker, a brushed cymbal—creating music of pure atmosphere where reflection and release intermingle as the workday fades to evening, parasympathetic activation through spacious simplicity.",Breathing-like phrasing,Yes,,
24,Evening Wind-Down,85,Alpha to Theta Descent,Parasympathetic Shift,"dream pop jazz, intimate acoustic","nylon guitar, upright bass, dream pop reverb",intimate whispered ethereal gentle cortisol reduction,,"Nylon-string guitar and upright bass converse in intimate whispers at 85 BPM, wrapped in shimmering dream pop reverb that transforms jazz tradition into ethereal meditation. Each note is afforded space and time, captured with single-microphone simplicity, creating music that honors the ending—gentle closure for minds that have traveled far through code and concentration, cortisol reduction through acoustic warmth.",Single-mic intimacy,Yes,,
BONUS-1,Complex Debugging,115,Gamma Bursts,Problem Solving,"math rock, afro jazz fusion","kora, electric guitar, talking drums",cerebral odd-time polyrhythmic puzzle-solving,,"Interlocking kora and clean electric guitar patterns weave complex polyrhythmic puzzles in odd time signatures at 115 BPM, supported by talking drum conversations that shift between 7/8 and 5/4 in this math rock afro jazz fusion. The cerebral arrangement demands active listening while paradoxically supporting deep focus—musical geometry for algorithmic problem-solving, where gamma bursts fire during insight moments.",Use for debugging,Yes,,
BONUS-2,Creative Algorithm Design,100,Alpha + Divergent Thinking,Creative Exploration,"psychedelic jazz, samba fusion","phased percussion, wah guitar, analog synth, samba drums",exploratory fluid modal spiraling lateral,,"Phased percussion swirls in stereo field while wah-wah guitar explores modal scales over samba rhythm at 100 BPM in this psychedelic jazz fusion. Vintage analog synthesizer leads spiral upward in exploratory melody as textural element, creating fluid, open-ended musical space that encourages lateral thinking—sonic petri dish for creative coding solutions, where alpha waves support divergent thinking.",Creative ideation mode,Yes,,
BONUS-3,Refactoring/Cleanup,75,Methodical Processing,Detail Focus,"minimalist acoustic folk, meditation","solo fingerstyle guitar, room ambience",meditative precise intentional detail-oriented,,"A single fingerstyle guitar performs with meditative precision at 75 BPM, each note placed with intentional care in this minimalist acoustic folk meditation. Subtle room ambience captures finger squeaks and string resonance, creating intimate sonic space—music of focused attention to detail, perfect for the careful work of improving existing code, where slower tempo allows methodical processing.",Slower for detail work,Yes,,
BONUS-4,Late Night Crunch,88,Sustained Theta,Extended Hours,"dark chillsynth, boom bap","minor-key synth bass, lo-fi drums, moody Rhodes, tape hiss",dark moody cocoon companionship somber,,"Dark minor-key synthesizer bass throbs beneath lo-fi boom bap drums at 88 BPM, while moody Rhodes piano provides somber harmonic foundation in this after-midnight focus music. Tape hiss and analog warmth soften the edges of urgency, creating cocoon-like atmosphere for those 3 AM sessions when only completion matters—musical companionship for solitary work, maintaining theta access during extended hours.",3 AM coding sessions,Yes,,
25,Morning Warmup,97,Theta-Alpha Transition,Gentle Entry,"chillsynth, bossa nova","analog synth, nylon guitar, soft shakers, tape saturation",sunrise coastal warm gentle awakening,,"Warm analog synthesizer pads drift like morning fog over gentle bossa nova rhythms at 97 BPM, while nylon guitar adds subtle harmonic texture beneath soft shaker patterns in this chillsynth bossa fusion. Tape saturation creates vintage warmth, inviting gradual mental activation—coastal sunrise translated to sound, easing the transition from sleep to focused awareness without jarring the nervous system.",Based on Prompt #5 formula,Yes,,
26,Morning Warmup,94,Theta-Alpha Transition,Gentle Entry,"lo-fi jazz, boom bap","Wurlitzer, boom bap drums, vinyl crackle, upright bass",coffee shop nostalgic intimate grounding,,"Vintage Wurlitzer electric piano rings with bell-like clarity over dusty boom bap loops at 94 BPM, while upright bass provides woody resonance beneath vinyl crackle and tape hiss in this lo-fi jazz meditation. The intimate arrangement feels like a coffee shop session recorded on a 4-track cassette—nostalgic warmth for morning grounding, supporting gentle cognitive activation through familiar sonic comfort.",Based on Prompt #5 formula,Yes,,
27,Morning Warmup,101,Theta-Alpha Transition,Gentle Entry,"ambient house, afro percussion","soft four-on-floor, kalimba, synth pads, subtle congas",temple awakening ritualistic spacious,,"Soft four-on-four house kick provides barely-there pulse beneath kalimba arpeggios and warm synthesizer pads at 101 BPM, textured by whisper-quiet conga patterns in this ambient house afro fusion. The spacious arrangement creates temple-like atmosphere—ritualistic morning activation through repetitive minimalism, where steady pulse guides the brain toward alert relaxation.",Based on Prompt #13 formula,Yes,,"One version excellent, other mediocre - kept the good one ⭐"
28,Deep Focus Block 1,106,Theta-Gamma Coupling,Hypnotic Flow,"chillsynth, minimal techno","TB-303 bass, electric piano, minimal percussion, analog pads",acid jazz hypnotic architectural precision,,"Warm TB-303 bass synth pulses with hypnotic precision beneath electric piano chord stabs at 106 BPM, supported by minimal percussion and thick analog synthesizer pads in this chillsynth minimal techno fusion. The arrangement breathes with spacious restraint—acid jazz architecture for deep work, where repetitive cycles induce theta-gamma coupling through predictable sonic geometry.",Based on Prompt #5 formula,Yes,,
29,Deep Focus Block 1,111,Theta-Gamma Coupling,Hypnotic Flow,"deep house, jazz fusion","Moog bass, vibraphone, four-on-floor, tape delay",underwater cathedral meditative pulsing depth,"deep house, jazz fusion, Moog bass, vibraphone, four-on-floor, tape delay, 111 BPM, instrumental","Deep Moog bass frequencies throb beneath vibraphone patterns that shimmer with tape delay at 111 BPM, anchored by steady four-on-floor kick in this deep house jazz fusion. The underwater cathedral atmosphere creates meditative depth—pulsing foundation for extended concentration, where sub-bass entrainment supports sustained theta access.",Hybrid #13 + tape delay mutation,Yes,,
30,Deep Focus Block 1,93,Theta-Gamma Coupling,Hypnotic Flow,"lo-fi house, ambient","mellotron, cassette drums, spring reverb, analog bass",hazy dreamlike nostalgic warmth,"lo-fi house, ambient, mellotron, cassette drums, spring reverb, analog bass, 93 BPM, instrumental","Mellotron strings drift through spring reverb over cassette-degraded house drums at 93 BPM, while analog bass provides warm foundation in this lo-fi ambient meditation. Hazy dreamlike textures create nostalgic warmth—vintage gear aesthetic for deep focus, where tape degradation and mellotron choir sounds support theta entrainment through sonic comfort.",Mutation: mellotron + spring reverb (Prompt #21 DNA),Yes,,
31,Deep Focus Block 1,107,Theta-Gamma Coupling,Hypnotic Flow,"minimal house, balearic","filtered piano, sub bass, minimal hi-hats, synth swells",Ibiza dawn hypnotic mediterranean spacious,"minimal house, balearic, filtered piano, sub bass, minimal hi-hats, synth swells, 107 BPM, instrumental","Filtered acoustic piano loops repeat with ritual precision over deep sub bass at 107 BPM, textured by minimal hi-hat patterns and occasional synthesizer swells in this minimal house balearic meditation. Mediterranean spaciousness meets club minimalism—Ibiza dawn energy for sustained focus, where repetitive elements create cognitive scaffold through hypnotic simplicity.",Parent #13 clone (proven DNA),Yes,,
32,Deep Focus Block 1,109,Theta-Gamma Coupling,Hypnotic Flow,"chillsynth, dub techno","Prophet-5 bass, dub delay, minimal percussion, echo chambers",cosmic dub spacious depth,"chillsynth, dub techno, Prophet-5 bass, dub delay, minimal percussion, echo chambers, 109 BPM, instrumental","Vintage Prophet-5 bass synth pulses through deep dub delay chambers at 109 BPM, supported by minimal percussion that echoes into infinite space in this chillsynth dub techno fusion. Cosmic spaciousness and echo architecture create hypnotic depth—dub aesthetics for coding meditation, where delay-soaked textures support theta-gamma coupling.",Hybrid: #5 structure + dub delay mutation,Yes,,
33,Deep Focus Block 1,104,Theta-Gamma Coupling,Hypnotic Flow,"minimal afro-house, techno","marimba, polyrhythmic percussion, sub bass, minimal kick",African Berlin geometric trance,"minimal afro-house, techno, marimba, polyrhythmic percussion, sub bass, minimal kick, 104 BPM, instrumental","Repetitive marimba patterns interlock with polyrhythmic minimal percussion at 104 BPM over deep sub bass and steady kick in this minimal afro-house fusion. African melodic geometry meets Berlin minimalism—trance-inducing depth for sustained concentration, where polyrhythmic cycles create spatial architecture supporting extended theta access.",Mutation: marimba + polyrhythmic (Prompt #13 DNA),Yes,,
34,Deep Focus Block 1,114,Theta-Gamma Coupling,Hypnotic Flow,"deep house, ambient jazz","MS-20 bass, EBow guitar, four-on-floor, pad textures",sustained tones meditative warehouse,"deep house, ambient jazz, MS-20 bass, EBow guitar, four-on-floor, pad textures, 114 BPM, instrumental","Korg MS-20 bass synth drives beneath EBow guitar's sustained tones at 114 BPM, anchored by steady four-on-floor kick and ambient pad textures in this deep house jazz meditation. Sustained guitar drones and warehouse atmosphere create meditative depth—urban minimalism for deep focus, where repetitive house pulse supports theta entrainment.",Mutation: EBow guitar (Prompt #13 DNA),Yes,,
35,Deep Focus Block 1,102,Theta-Gamma Coupling,Hypnotic Flow,"chillsynth, ambient","Juno-106 pads, field recordings, electric piano, soft drums",nature synthesis organic electronic,"chillsynth, ambient, Juno-106 pads, field recordings, electric piano, soft drums, 102 BPM, instrumental","Lush Juno-106 synthesizer pads wash over field recordings of distant wind and water at 102 BPM, while electric piano provides harmonic texture in this chillsynth ambient meditation. Nature synthesis creates organic electronic space—environmental textures for deep work, where field recordings and analog warmth support theta access through biophilic design.",Hybrid: #5 + #17 field recordings,Yes,,
36,Deep Focus Block 1,116,Theta-Gamma Coupling,Hypnotic Flow,"minimal house, afro fusion","balafon, TB-303, four-on-floor, sub bass",Mali Detroit acid ritualistic,"minimal house, afro fusion, balafon, TB-303, four-on-floor, sub bass, 116 BPM, instrumental","Balafon patterns interlock with TB-303 acid bass lines at 116 BPM over steady four-on-floor pulse in this minimal house afro fusion. Mali meets Detroit—ritualistic precision through cultural synthesis, where African melodic cycles and acid bass create geometric scaffold for sustained focus and theta entrainment.",Mutation: TB-303 acid (Prompt #13 DNA),Yes,,Pretty good
37,Deep Focus Block 1,99,Theta-Gamma Coupling,Hypnotic Flow,"dream pop, downtempo","lap steel guitar, modular synth, soft breaks, reverb",weightless floating crystalline,"dream pop, downtempo, lap steel guitar, modular synth, soft breaks, reverb, 99 BPM, instrumental","Lap steel guitar slides create floating textures over modular synthesizer patterns at 99 BPM with soft downtempo breaks in this dream pop meditation. Weightless crystalline atmosphere supports theta dominance—Prompt #8 aesthetic at slower tempo, where lap steel sustain and modular precision create timeless sonic space for deep work.",Mutation: lap steel (Prompt #8 DNA),Yes,,
38,Deep Focus Block 1,113,Theta-Gamma Coupling,Hypnotic Flow,"tech house, jazz minimalism","filtered Rhodes, techno kick, jazz bass, minimal hi-hats",Berlin loft minimal sophisticated,"tech house, jazz minimalism, filtered Rhodes, techno kick, jazz bass, minimal hi-hats, 113 BPM, instrumental","Heavily filtered Fender Rhodes loops pulse at 113 BPM over precise techno kick and jazz bass walking patterns in this tech house jazz minimalism fusion. Berlin loft sophistication meets minimal groove—architectural precision for sustained concentration, where house rhythm and jazz harmony create cognitive framework through repetitive sophistication.",Parent #13 variant (proven DNA),Yes,,Very good
39,Midday Refresh,103,Alpha Boost,Novelty Refresh,"chillsynth, afrobeat","Juno bass, talking drums, clavinet, half-time feel",Lagos sunset polyrhythmic energizing,"chillsynth, afrobeat, Juno bass, talking drums, clavinet, half-time feel, 103 BPM, instrumental","Warm Juno synthesizer bass pulses beneath talking drum polyrhythms at 103 BPM with half-time feel, textured by clavinet stabs in this chillsynth afrobeat fusion. Lagos sunset energy meets electronic warmth—cultural synthesis for midday renewal, where West African rhythmic complexity and half-time groove prevent habituation while maintaining focus.",Hybrid: #5 + half-time mutation,Yes,,
40,Midday Refresh,98,Alpha Boost,Novelty Refresh,"deep house, bossa nova","four-on-floor, nylon guitar, Rhodes, swing quantization",Copacabana club sophisticated tropical,"deep house, bossa nova, four-on-floor, nylon guitar, Rhodes, swing quantization, 98 BPM, instrumental","Steady four-on-floor house kick with swing quantization supports bossa nova nylon guitar at 98 BPM, while Rhodes electric piano adds jazz harmony in this deep house bossa nova fusion. Copacabana meets underground club—sophisticated tropical smoothness for midday refresh, where Brazilian swing and house pulse create energizing novelty.",Mutation: swing quantization (Prompt #13 DNA),Yes,,
41,Midday Refresh,105,Alpha Boost,Novelty Refresh,"chillwave, boom bap","lo-fi synths, saxophone texture, MPC drums, bit-crushing",urban nostalgic hazy renewal,"chillwave, boom bap, lo-fi synths, saxophone texture, MPC drums, bit-crushing, 105 BPM, instrumental","Lo-fi synthesizers with bit-crushing texture pulse over MPC boom bap drums at 105 BPM, while saxophone provides atmospheric background in this chillwave hip-hop fusion. Urban nostalgia and hazy warmth energize—Prompt #21 aesthetic with sax texture, where bit-crushed lo-fi and boom bap groove prevent habituation through textural complexity.",Hybrid: #21 + bit-crushing + sax,Yes,,
42,Deep Focus Block 2,117,Sustained Theta-Alpha,Extended Immersion,"deep house, minimal jazz","Moog sub bass, marimba, four-on-floor, pad layers",cathedral techno wooden tones meditative,"deep house, minimal jazz, Moog sub bass, marimba, four-on-floor, pad layers, 117 BPM, instrumental","Deep Moog sub bass frequencies anchor marimba patterns at 117 BPM over steady four-on-floor pulse in this deep house minimal jazz meditation. Cathedral-like techno vastness with wooden tone colors creates architectural precision—sustained immersion through bass entrainment, where repetitive house foundation supports extended theta access.",Mutation: marimba (Prompt #13 DNA),Yes,,
43,Deep Focus Block 2,91,Sustained Theta-Alpha,Extended Immersion,"chillsynth, ambient","OB-8 pads, electric piano, analog compression, tape saturation",analog sanctuary enveloping timeless,"chillsynth, ambient, OB-8 pads, electric piano, analog compression, tape saturation, 91 BPM, instrumental","Oberheim OB-8 synthesizer pads create warm sanctuary at 91 BPM with analog compression, supporting electric piano motifs in this chillsynth ambient meditation. Tape saturation adds vintage embrace—analog timelessness for extended concentration, where thick pad layers and compression glue support sustained theta dominance through sonic density.",Mutation: analog compression (Prompt #5 DNA),Yes,,
44,Deep Focus Block 2,119,Sustained Theta-Alpha,Extended Immersion,"minimal house, ambient afro","thumb piano, sub bass, minimal kick, field recordings",ritualistic nature synthesis spatial,"minimal house, ambient afro, thumb piano, sub bass, minimal kick, field recordings, 119 BPM, instrumental","Repetitive thumb piano patterns echo over minimal kick and deep sub bass at 119 BPM, textured by field recordings of distant wildlife in this minimal house afro ambient fusion. Ritualistic nature synthesis creates spatial meditation—African melodic cycles with environmental sounds, where biophilic design supports sustained theta access.",Hybrid: #13 + #17 field recordings,Yes,,
45,Deep Focus Block 2,89,Sustained Theta-Alpha,Extended Immersion,"ambient dub, chillsynth","analog bass, echo chambers, mellotron, minimal rhythm",cosmic dub cathedral vast immersion,"ambient dub, chillsynth, analog bass, echo chambers, mellotron, minimal rhythm, 89 BPM, instrumental","Warm analog bass echoes through infinite delay chambers at 89 BPM, supporting mellotron choir textures and minimal rhythm in this ambient dub chillsynth meditation. Cosmic cathedral vastness creates immersive depth—dub echoes with mellotron, where slower tempo and delay architecture support deepest theta dominance.",Mutation: mellotron + dub (Prompt #5 DNA),Yes,,
46,Deep Focus Block 2,112,Sustained Theta-Alpha,Extended Immersion,"tech house, jazz fusion","TB-303 bass, electric piano, techno drums, spring reverb",Detroit Blue Note acid minimal precision,"tech house, jazz fusion, TB-303 bass, electric piano, techno drums, spring reverb, 112 BPM, instrumental","TB-303 acid bass pulses with precision beneath electric piano at 112 BPM over techno drum patterns bathed in spring reverb in this tech house jazz fusion. Detroit meets Blue Note—minimal precision for meditative coding, where acid bass repetition and jazz harmony create cognitive scaffold through sustained rhythmic entrainment.",Mutation: spring reverb + TB-303 (Prompt #13 DNA),Yes,,
